Initial Auc;Initial F1_score;Initial Accuracy;Initial Mcc;Initial Precision;Initial Recall;Initial Loss;Augmented Auc;Augmented F1_score;Augmented Accuracy;Augmented Mcc;Augmented Precision;Augmented Recall;Augmented Loss;Model;Prefix Length;Augmentation Factor;Simulation
0.8683415366488665;0.8054646942134807;0.8589211618257261;0.6310200450281078;0.8563489369954668;0.7793513996313259;0.6310200450281078;0.8748788506489806;0.7985297435012804;0.8547717842323651;0.6192427133792388;0.8525426234354982;0.7719256570570685;0.6192427133792388;randomForestClassifier;3;0.3;False
0.8683415366488665;0.8054646942134807;0.8589211618257261;0.6310200450281078;0.8563489369954668;0.7793513996313259;0.6310200450281078;0.8661560973755724;0.813043126212933;0.8630705394190872;0.6428183618605698;0.8583297902494331;0.7882926968320633;0.6428183618605698;randomForestClassifier;3;0.5;False
0.8683415366488665;0.8054646942134807;0.8589211618257261;0.6310200450281078;0.8563489369954668;0.7793513996313259;0.6310200450281078;0.890585507687045;0.7857777777777779;0.8520055325034578;0.6130954299015391;0.8709374478268128;0.7533351703692442;0.6130954299015391;randomForestClassifier;3;0.7;False
0.8905047414530319;0.7997556207233626;0.8589211618257261;0.6318259443162468;0.8713629201680673;0.7687425172459664;0.6318259443162468;0.8761948651678988;0.8123499931769471;0.8658367911479945;0.6508694317460241;0.8747165532879818;0.7826343094962087;0.6508694317460241;randomForestClassifier;5;0.3;False
0.8905047414530319;0.7997556207233626;0.8589211618257261;0.6318259443162468;0.8713629201680673;0.7687425172459664;0.6318259443162468;0.8872978468672202;0.7878835294347751;0.8547717842323651;0.6226027847056342;0.8819221967963387;0.7537390015393094;0.6226027847056342;randomForestClassifier;5;0.5;False
0.8905047414530319;0.7997556207233626;0.8589211618257261;0.6318259443162468;0.8713629201680673;0.7687425172459664;0.6318259443162468;0.8763136390414473;0.7922459715744568;0.8561549100968188;0.625296866307481;0.8770522388059702;0.7592453583170218;0.625296866307481;randomForestClassifier;5;0.7;False
0.914397293856065;0.8307428896682152;0.8589211618257261;0.6640368663134016;0.8213840565516997;0.8430046939434827;0.6640368663134016;0.9132048041656373;0.8285846819915473;0.8727524204702628;0.6698676565676116;0.8670600050213406;0.8056194295053306;0.6698676565676116;xgboost;3;0.3;False
0.914397293856065;0.8307428896682152;0.8589211618257261;0.6640368663134016;0.8213840565516997;0.8430046939434827;0.6640368663134016;0.917247866821231;0.8409668589304917;0.8755186721991701;0.6835676726430155;0.8520811486649996;0.8317876893255545;0.6835676726430155;xgboost;3;0.5;False
0.914397293856065;0.8307428896682152;0.8589211618257261;0.6640368663134016;0.8213840565516997;0.8430046939434827;0.6640368663134016;0.914644343513046;0.8226497704383886;0.8533886583679114;0.6467377476203244;0.8153533345382251;0.8315881492179928;0.6467377476203244;xgboost;3;0.7;False
0.9274909256760608;0.8490238927738927;0.8810511756569848;0.6990356369444458;0.8575263471863193;0.8416886794245644;0.6990356369444458;0.9156325421409703;0.8370622194944186;0.8699861687413555;0.6742984254861949;0.8403167718700384;0.834011136238384;0.6742984254861949;xgboost;5;0.3;False
0.9274909256760608;0.8490238927738927;0.8810511756569848;0.6990356369444458;0.8575263471863193;0.8416886794245644;0.6990356369444458;0.9157750707892287;0.8346200034311203;0.8672199170124482;0.6692590485633961;0.8356548757170172;0.8336073050683188;0.6692590485633961;xgboost;5;0.5;False
0.9274909256760608;0.8490238927738927;0.8810511756569848;0.6990356369444458;0.8575263471863193;0.8416886794245644;0.6990356369444458;0.9172383649113471;0.8420017482517481;0.8755186721991701;0.6849810550336884;0.8503380393716444;0.8348187985785143;0.6849810550336884;xgboost;5;0.7;False